Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622182742628
Timestamp end: 1622184543135

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      514.1  1014.1    68.9   114.7   132.3   327.8   418.3   486.4   548.5   644.5  1047.1  1477.8  4009.3 12670.0 32191.8  38416.6    38416
read      420.2   722.7    68.9   116.8   135.5   323.1   409.7   460.1   500.5   553.4   627.7   797.4  2457.0 10915.2 29735.3  66042.6    65892
read      412.9   723.2    74.4   113.7   130.4   323.6   405.7   459.5   504.4   558.3   633.2   952.8  1871.0  9575.6 31597.0  39697.0    39560
read      683.9  2204.7    80.4   122.2   144.4   334.6   435.7   507.2   556.3   616.9   713.5  1627.0  8068.6 31578.1 37368.5  10040.6    10016
read      613.3  1268.9    74.4   121.0   144.1   369.7   468.5   542.1   610.7   746.1  1428.5  1873.9  3871.9 17484.4 32247.3  55153.0    55224
read      578.7  1314.6    74.4   121.4   143.6   350.3   494.3   614.7   755.8   876.4  1000.7  1204.8  4134.3 20149.6 51644.5  19936.8    19982
read      508.9   927.5    74.4   122.6   146.2   360.5   452.2   510.4   562.2   634.0   778.7  1543.5  2659.2 11332.8 32007.2  48183.6    48114
read      439.9   721.6    68.9   119.8   141.8   357.7   440.2   494.7   540.6   596.6   674.5   954.2  1793.2  9319.7 31628.3  36080.4    36283
read      619.5  1386.1    74.4   121.4   144.3   356.1   509.6   647.4   822.0   963.4  1100.7  1324.1  4822.4 27477.4 32425.2  23315.2    23315
read      736.1  2234.0    80.4   126.1   152.0   375.9   512.8   592.2   646.9   711.1   814.6  2055.9  7091.5 31942.4 37671.5  11203.0    11150
read      685.9   746.8    74.4   364.2   399.7   507.2   577.9   739.5   870.8   948.4  1049.4  1604.1  2364.6  8731.3 30811.5  98825.6    98724
read      435.4   598.1    68.9   123.1   146.0   353.6   443.9   495.5   537.3   591.6   669.7   860.8  2273.6  6062.2 28005.0  56701.0    56880
read      604.1  1579.5    74.4   126.7   151.1   367.9   486.3   573.8   645.2   727.4   831.9  1095.2  5946.2 30732.8 39823.5  13512.6    13467
read     1803.2 25538.8    86.8   378.6   401.6   774.0  1593.3  1702.2  1803.4  1948.2  2089.6  2363.3  3679.6 29803.7 1097543.5  99038.6    99368
read     1158.9  1135.5   101.3   384.6   408.3   810.3  1605.5  1720.9  1820.2  1940.7  2083.5  2329.3  3152.8 13726.0 32374.3  46091.0    46206
read      883.1  1039.4    80.4   333.4   383.0   545.5   722.9   966.2  1198.4  1588.8  1800.4  2134.4  4602.6 11827.6 31217.3  71739.2    71651
read      587.9  1663.4    74.4   123.5   148.4   373.9   464.3   530.9   593.0   696.5   889.8  1581.1  3230.6 31247.2 39024.2  22679.4    22741
read      450.6   677.1    74.4   122.3   145.4   359.0   450.3   503.6   547.2   603.0   680.1   905.2  2399.6  8913.7 30188.8  56652.2    56654
read      560.7   627.3    74.4   215.8   283.2   488.9   555.0   614.7   675.6   766.4   884.9  1011.2  1400.8  8487.0 30514.1  99437.4    99570
read      521.0   816.1    74.4   122.1   145.0   355.8   493.4   597.1   738.3   910.6  1052.1  1225.1  2462.6 10601.1 31583.8  23077.8    23047
