Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622195190345
Timestamp end: 1622196990780

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      455.7   818.5    74.4   123.5   145.8   359.2   452.1   510.0   557.3   618.6   704.8   914.4  2074.5 10550.4 31918.5  41113.6    41133
read      425.3   695.1    74.4   120.7   141.3   344.5   431.5   488.5   532.1   583.1   652.3   827.2  1800.7  7499.0 31303.1  28753.5    28693
read      450.9   753.4    74.4   122.8   145.4   353.5   447.7   504.3   549.6   610.9   697.4   912.7  2277.7 10199.0 31458.0  53191.6    53141
read      456.0   774.5    68.9   123.4   146.3   357.4   452.4   508.6   556.1   618.8   708.0   919.5  2232.6  9137.7 31678.7  54426.2    54512
read      405.9   752.2    74.4   123.9   144.0   334.4   412.7   456.6   488.7   528.8   586.8   735.6  1879.5  9383.5 32073.0  14806.7    14835
read      501.5   666.5    74.4   159.0   207.2   436.9   519.3   574.4   620.8   683.7   781.7   938.4  1436.6  8352.1 30802.3  98615.0    98446
read      441.7   719.7    68.9   121.2   143.4   354.3   443.1   499.9   545.1   603.6   684.1   870.9  1982.4  8204.0 31046.2  38221.6    38117
read      466.2   750.6    74.4   132.0   160.7   375.6   465.7   521.3   567.3   628.5   717.9   892.1  2498.5 10055.3 31457.8  78017.0    77994
read      458.2   759.9    74.4   125.3   147.4   362.8   458.5   523.2   573.0   633.9   725.7   999.4  1852.0  9068.9 31609.9  30253.1    30209
read      462.6   834.5    74.4   126.6   151.7   358.1   450.0   507.5   553.4   616.2   704.0   878.3  2627.1 10421.5 32188.7  68345.5    68315
read      486.1   671.4    74.4   148.2   187.8   411.7   501.0   556.6   602.6   663.6   752.4   915.2  1788.3  8709.8 30831.9  91897.9    91940
read      449.3   695.6    68.9   122.0   144.5   352.6   447.3   505.3   552.5   617.0   711.2   988.7  2142.6  7997.2 31328.1  49270.9    49308
read      438.2   638.7    68.9   122.3   144.8   352.8   445.6   501.8   546.7   607.0   690.5   896.1  2024.1  7758.8 30694.4  46937.7    46880
